name,address,city,state,zipcode,lat,lon
Nirvana,"1134 NJ-73, Mt Laurel Township, NJ 08054",Mt Laurel Township,NJ,08054,39.926687,-74.954111
NJ Pure,"A-10, 4313 US-130, Edgewater Park, NJ 08010",Edgewater Park,NJ,08010,40.068403,-74.896125
Noire Dispensary,"171 Maplewood Ave, Maplewood, NJ 07040",Maplewood,NJ,07040,40.73087,-74.278294
Northeast Alternatives Dispensary,"780 US-130, Hamilton Township, NJ 08691",Hamilton Township,NJ,08691,40.196778,-74.641539
Nova Farms,"642 Mantua Pike, Woodbury, NJ 08096",Woodbury,NJ,08096,39.826276,-75.159242
Ohm Theory,"213 US-46, Elmwood Park, NJ 07407",Elmwood Park,NJ,07407,40.893692,-74.116923
One Green Leaf,"95 Lakeview Dr N, Gibbsboro, NJ 08026",Gibbsboro,NJ,08026,39.843931,-74.970031
Organic Farms,"2895 Mt Ephraim Ave, Camden, NJ 08104",Camden,NJ,08104,39.907687,-75.097092
OTC Jersey,"167 New Jersey Ave, Absecon, NJ 08201",Absecon,NJ,08201,39.425867,-74.501811
Phasal,"1100 N Black Horse Pike, Runnemede, NJ 08078",Runnemede,NJ,08078,39.858762,-75.075967
Phula,"60-62 High St, Mt Holly, NJ 08060",Mt Holly,NJ,08060,39.994643,-74.788019
Plant Base,"148 E 2nd St, Plainfield, NJ 07060",Plainfield,NJ,07060,40.619034,-74.421448
Plantabis,"2077 US-1, Rahway, NJ 07065",Rahway,NJ,07065,40.607877,-74.260149
Plantopia,"37 Main St, Englishtown, NJ 07726",Englishtown,NJ,07726,40.297867,-74.358841
PPP Dispensary,"3001 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.354243,-74.448334
Premo,"2 E Front St, Keyport, NJ 07735",Keyport,NJ,07735,40.437321,-74.20138
Public Absecon,"792a White Horse Pike, Absecon, NJ 08201",Absecon,NJ,08201,39.437337,-74.517184
Puffin Store,"382 George St, New Brunswick, NJ 08901",New Brunswick,NJ,08901,40.49582,-74.444331
Pure Blossom,"2554 Pennington Rd, Pennington, NJ 08534",Pennington,NJ,08534,40.307168,-74.784947
Pure Natural Vibes,"470 Prospect Ave, West Orange, NJ 07052",West Orange,NJ,07052,40.79087,-74.254494
Quality Roots,"850 Rte 70 W, Marlton, NJ 08053",Marlton,NJ,08053,39.895348,-74.942079
Queen City Remedies,"1353 South Ave, Plainfield, NJ 07062",Plainfield,NJ,07062,40.633135,-74.396392
Releaf Cannabis,"1024 S Black Horse Pike, Williamstown, NJ 08094",Williamstown,NJ,08094,39.67611,-74.980721
